Random Forest Predictions
Source,Prediction
ya_YA13_02-12-2016_10:20:17_2500,0
ya_YA13_02-12-2016_10:20:17_2566,0
ya_YA13_02-12-2016_10:20:17_2588,0
ya_YA13_02-12-2016_10:20:17_2610,0
ya_YA13_02-12-2016_10:20:17_2632,0
ya_YA13_02-12-2016_10:20:17_2654,0
ya_YA13_02-12-2016_10:20:17_2676,0
ya_YA13_02-12-2016_10:20:17_2698,0
ya_YA13_02-12-2016_10:20:17_2720,0
ya_YA13_02-12-2016_10:20:17_2742,0
ya_YA13_02-12-2016_10:20:17_2830,0
ya_YA13_02-12-2016_10:20:17_2852,0
ya_YA13_02-12-2016_10:20:17_2874,0
ya_YA13_02-12-2016_10:20:17_2896,0
ya_YA13_02-12-2016_10:20:17_2918,0
ya_YA13_02-12-2016_10:20:17_2940,0
ya_YA13_02-12-2016_10:20:17_2962,0
ya_YA13_02-12-2016_10:20:17_2984,0
ya_YA13_02-12-2016_10:20:17_3006,0
ya_YA13_02-12-2016_10:20:17_3028,0
ya_YA13_02-12-2016_10:20:17_3050,0
ya_YA13_02-12-2016_10:20:17_3072,0
ya_YA13_02-12-2016_10:20:17_3116,0
ya_YA13_02-12-2016_10:20:17_3138,0
ya_YA13_02-12-2016_10:20:17_3160,0
ya_YA13_02-12-2016_10:20:17_3270,0
ya_YA13_02-12-2016_10:20:17_3292,0
ya_YA13_02-12-2016_10:20:17_3314,0
ya_YA13_02-12-2016_10:20:17_3336,0
ya_YA13_02-12-2016_10:20:17_3358,0
ya_YA13_02-12-2016_10:20:17_3380,0
ya_YA13_02-12-2016_10:20:17_3424,0
ya_YA13_02-12-2016_10:20:17_3446,0
ya_YA13_02-12-2016_10:20:17_3468,0
ya_YA13_02-12-2016_10:20:17_3490,0
ya_YA13_02-12-2016_10:20:17_3512,0
ya_YA13_02-12-2016_10:20:17_3534,0
ya_YA13_02-12-2016_10:20:17_3556,0
ya_YA13_02-12-2016_10:20:17_3578,0
ya_YA13_02-12-2016_10:20:17_3600,0
ya_YA13_02-12-2016_10:20:17_3622,0
ya_YA13_02-12-2016_10:20:17_3644,0
ya_YA13_02-12-2016_10:20:17_3666,0
ya_YA13_02-12-2016_10:20:17_3688,0
ya_YA13_02-12-2016_10:20:17_3710,0
ya_YA13_02-12-2016_10:20:17_3732,0
ya_YA13_02-12-2016_10:20:17_3754,0
ya_YA13_02-12-2016_10:20:17_3776,0
ya_YA13_02-12-2016_10:20:17_3798,0
ya_YA13_02-12-2016_10:20:17_3820,0
ya_YA13_02-12-2016_10:20:17_3842,0
ya_YA13_02-12-2016_10:20:17_3864,0
ya_YA13_02-12-2016_10:20:17_3886,0
ya_YA13_02-12-2016_10:20:17_3908,0
ya_YA13_02-12-2016_10:20:17_3930,0
ya_YA13_02-12-2016_10:20:17_3952,0
ya_YA13_02-12-2016_10:20:17_3974,0
ya_YA13_02-12-2016_10:20:17_3996,0
ya_YA13_02-12-2016_10:20:17_4018,0
ya_YA13_02-12-2016_10:20:17_4040,0
ya_YA13_02-12-2016_10:20:17_4062,0
ya_YA13_02-12-2016_10:20:17_4084,0
ya_YA13_02-12-2016_10:20:17_4106,0
ya_YA13_02-12-2016_10:20:17_4128,0
ya_YA13_02-12-2016_10:20:17_4150,0
ya_YA13_02-12-2016_10:20:17_4172,0
ya_YA13_02-12-2016_10:20:17_4194,0
ya_YA13_02-12-2016_10:20:17_4304,0
ya_YA13_02-12-2016_10:20:17_4326,0
ya_YA13_02-12-2016_10:20:17_4370,0
ya_YA13_02-12-2016_10:20:17_4414,0
ya_YA13_02-12-2016_10:20:17_4436,0
ya_YA13_02-12-2016_10:20:17_4458,0
ya_YA13_02-12-2016_10:20:17_4480,0
ya_YA13_02-12-2016_10:20:17_4502,0
ya_YA13_02-12-2016_10:20:17_4524,1
ya_YA13_02-12-2016_10:20:17_4546,0
ya_YA13_02-12-2016_10:20:17_4568,0
ya_YA13_02-12-2016_10:20:17_4590,0
ya_YA13_02-12-2016_10:20:17_4612,0
ya_YA13_02-12-2016_10:20:17_4634,0
ya_YA13_02-12-2016_10:20:17_4656,0
ya_YA13_02-12-2016_10:20:17_4678,0
